event,index,q_true,q_pe_med,q_pe_05,q_pe_95,dq_med,dq_abs,q_width_90,q_true_minus_pe_med,dL_ratio_med,H0_sample_med,m1src_med,m2src_med,nsamp
event_0054,54,0.9655447979462877,0.7137398892754536,0.6693757986057655,0.7711033076926714,-0.25180490867083405,0.25180490867083405,0.10172750908690598,0.25180490867083405,1.1513236376114884,53.20960880295036,1.6307524083951008,1.1635503754419383,5095
event_0014,14,0.9238890001203114,0.6924314826552151,0.6570879904955882,0.7319509153304591,-0.23145751746509624,0.23145751746509624,0.07486292483487089,0.23145751746509624,1.021622413453491,57.35103013065887,1.6809294029117232,1.1591697315480634,5850
event_0057,57,0.9565372451290848,0.7286344677298766,0.6656272944891773,0.8408535290595444,-0.22790277739920817,0.22790277739920817,0.175226234570367,0.22790277739920817,0.9331619614076754,50.168657077975986,1.647149683259321,1.1988031207643672,5475
event_0060,60,0.9464495050731777,0.7268448674337578,0.6695663616811323,0.8026615628722567,-0.21960463763941995,0.21960463763941995,0.1330952011911244,0.21960463763941995,1.1480097134980216,61.382145684425254,1.6046164232942601,1.1685398299771697,5410
event_0087,87,0.9277611907508047,0.7090303342664264,0.6653696317446085,0.7556184138324389,-0.2187308564843783,0.2187308564843783,0.09024878208783038,0.2187308564843783,1.0999341385091197,49.72519943191596,1.6083112976803517,1.1386818130212815,4951
event_0007,7,0.9844282813512636,0.7829450662203379,0.7135916239204207,0.8508595818697409,-0.2014832151309257,0.2014832151309257,0.13726795794932012,0.2014832151309257,0.9963403904468716,52.05034735869133,1.5089389441642633,1.176434050920626,5476
event_0097,97,0.9970610105186084,0.8062187542037448,0.713688318501638,0.9094969899113863,-0.19084225631486362,0.19084225631486362,0.19580867140974823,0.19084225631486362,1.1967345056187517,46.88258259459132,1.4762098840757476,1.1890720697851376,4747
event_0033,33,0.9848332684999606,0.7945772938606549,0.7253172438974184,0.9011772405481259,-0.19025597463930566,0.19025597463930566,0.1758599966507075,0.19025597463930566,1.1008293327114154,48.463503175136175,1.3808910438359152,1.1025793655786926,4942
event_0072,72,0.9253508100365611,0.7390311103519116,0.6865939873346603,0.8034539644079832,-0.18631969968464945,0.18631969968464945,0.11685997707332296,0.18631969968464945,1.106016782371332,49.71865875440797,1.621456439150845,1.1963907403232912,5039
event_0061,61,0.8265023104603191,0.6675935927748365,0.6203317276081571,0.7292226823655614,-0.15890871768548254,0.15890871768548254,0.10889095475740429,0.15890871768548254,1.1662559438352962,31.72327816270013,1.6550195489479433,1.1007288995069962,6313
event_0027,27,0.9299263223700998,0.7736973820209542,0.7043863303041481,0.8888012574433766,-0.15622894034914558,0.15622894034914558,0.18441492713922847,0.15622894034914558,1.0716020217258024,58.371673214758246,1.6287295295473128,1.2521345031320252,5373
event_0064,64,0.9953838245729882,0.8413182883956158,0.74808961933867,0.9512739345652975,-0.1540655361773724,0.1540655361773724,0.2031843152266275,0.1540655361773724,1.1444538601344567,53.5593771804657,1.625795819325177,1.3463606271715416,5346
event_0039,39,0.8369693978830862,0.692679810144836,0.6553061716269043,0.7464556199793773,-0.14428958773825018,0.14428958773825018,0.09114944835247296,0.14428958773825018,1.2566291794515392,64.86696474348821,1.5907585083603208,1.0988949854190808,5097
event_0016,16,0.9732961446088182,0.8336742010552121,0.7575898124772356,0.9042199075024864,-0.13962194355360613,0.13962194355360613,0.14663009502525082,0.13962194355360613,1.4797150193445212,48.96154469313572,1.4706824174314,1.2229970899926708,5229
event_0042,42,0.9509930443946387,0.8128212010343147,0.7361296776753403,0.9061209330803957,-0.13817184336032406,0.13817184336032406,0.16999125540505533,0.13817184336032406,0.9966452114562585,57.0268299842188,1.5827948201731132,1.2785547748153756,5357
event_0090,90,0.9504128394773756,0.8145689424208937,0.7181394633510242,0.9532721940746047,-0.13584389705648192,0.13584389705648192,0.23513273072358054,0.13584389705648192,1.6306790629720371,42.08361088279775,1.5375821959535052,1.2468889703716832,5541
event_0094,94,0.9467796889468463,0.8146380951521918,0.7266213991230858,0.9313374088618356,-0.1321415937946545,0.1321415937946545,0.20471600973874982,0.1321415937946545,0.9819294635382101,64.65159687368973,1.6026686260290102,1.29326204789102,4987
event_0085,85,0.9676060696439247,0.8396491451294432,0.7472947332860959,0.9438423140426584,-0.12795692451448148,0.12795692451448148,0.19654758075656253,0.12795692451448148,0.9855892715201579,54.7157281922943,1.4735773346502345,1.232759534288016,5711
event_0041,41,0.9345546833935596,0.8066008610921407,0.7407299539081187,0.884570517292619,-0.12795382230141894,0.12795382230141894,0.14384056338450035,0.12795382230141894,1.0678602648982198,54.67238911492319,1.5550651853425344,1.2524217208052457,5004
event_0086,86,0.9520499940608542,0.8269453850046663,0.7477910428410226,0.9272885576184414,-0.12510460905618792,0.12510460905618792,0.17949751477741882,0.12510460905618792,0.9801028923735158,47.01985651535613,1.598422098860248,1.3186109675545554,5143
event_0063,63,0.9103063427098866,0.7855411139211917,0.7085813499934449,0.9078133617156288,-0.12476522878869489,0.12476522878869489,0.19923201172218385,0.12476522878869489,1.904157323011687,32.01304057502459,1.517145086194398,1.1931745903186055,5451
event_0045,45,0.9186293964715253,0.8006565541678841,0.7435094462144709,0.8838871078958868,-0.11797284230364125,0.11797284230364125,0.14037766168141586,0.11797284230364125,0.9806927757949874,44.74141840967916,1.5089423058833806,1.2153425733286032,5424
event_0046,46,0.9598432105805557,0.8523510985766583,0.7591237001577649,0.9444008777458534,-0.10749211200389741,0.10749211200389741,0.18527717758808848,0.10749211200389741,0.8731341100669836,65.44111915664617,1.4990898979178304,1.278171348838236,4950
event_0092,92,0.9964363944192882,0.8972838902801539,0.8042473203883495,0.9774467046166933,-0.09915250413913435,0.09915250413913435,0.1731993842283438,0.09915250413913435,1.019684336807363,59.0632400389682,1.3958272455436331,1.249047548950417,4915
event_0083,83,0.9661914644723206,0.8675160341171034,0.7619977941333239,0.9710136269509316,-0.0986754303552172,0.0986754303552172,0.20901583281760772,0.0986754303552172,1.0042533302800163,53.07451895081003,1.5081696743159512,1.304842511044322,5193
