event,index,q_true,q_pe_med,q_pe_05,q_pe_95,dq_med,dq_abs,q_width_90,q_true_minus_pe_med,dL_ratio_med,H0_sample_med,m1src_med,m2src_med,nsamp
event_0001,1,0.9568816737336133,0.9153517335979164,0.8099346782716448,0.9911206814325346,-0.041529940135696886,0.041529940135696886,0.18118600316088984,0.041529940135696886,1.1932926217647397,55.43770426446257,1.3429869227680988,1.2184592739963187,5050
event_0002,2,0.8908837837944716,0.9239082753087767,0.8089487626277994,0.9927200259181308,0.03302449151430509,0.03302449151430509,0.18377126329033144,-0.03302449151430509,0.9839866717969291,52.08656778920771,1.3867586741748714,1.2688128164582086,5680
event_0003,3,0.8054946146855448,0.9326449273875875,0.8461094126945488,0.9884147875488634,0.1271503127020427,0.1271503127020427,0.1423053748543146,-0.1271503127020427,0.8893362619537142,59.951867305005266,1.3585182715908395,1.259272672939412,4862
event_0004,4,0.871679348497502,0.8558987555008362,0.7932476579735812,0.9223618506648165,-0.015780592996665788,0.015780592996665788,0.12911419269123525,0.015780592996665788,0.9629833151004893,58.74507048497065,1.4482670562173277,1.2340664861952835,5048
event_0005,5,0.9996922532796403,0.9431518629220715,0.882182193937077,0.989674232359846,-0.05654039035756875,0.05654039035756875,0.107492038422769,0.05654039035756875,1.0909329714062455,67.42959729328787,1.3691964631292333,1.2883397711223552,4991
event_0006,6,0.9989089404782803,0.9043117152612168,0.791232640030475,0.9853822734004754,-0.09459722521706349,0.09459722521706349,0.19414963337000035,0.09459722521706349,1.2352268145218412,46.53960064103616,1.3904961884302427,1.2482692467462122,5103
event_0007,7,0.9844282813512636,0.7829450662203379,0.7135916239204207,0.8508595818697409,-0.2014832151309257,0.2014832151309257,0.13726795794932012,0.2014832151309257,0.9963403904468716,52.05034735869133,1.5089389441642633,1.176434050920626,5476
event_0008,8,0.991965517139009,0.9120413735887207,0.8011408833677796,0.9882815660169801,-0.07992414355028832,0.07992414355028832,0.18714068264920058,0.07992414355028832,1.3533694368711138,35.85032448152698,1.3874603069841542,1.2563981544536766,5950
event_0009,9,0.9178184265933356,0.9322779241071498,0.8293257101793754,0.9900037199089429,0.014459497513814257,0.014459497513814257,0.16067800972956747,-0.014459497513814257,1.1787693037452098,63.114889916596226,1.428236400512004,1.3154907015280999,5134
event_0010,10,0.9125875905103868,0.909204996444619,0.8146912233940213,0.9853896563578775,-0.0033825940657677966,0.0033825940657677966,0.17069843296385612,0.0033825940657677966,0.9620420012062777,59.16268542964249,1.4519024345902733,1.3150044394326086,5112
event_0011,11,0.9790785148356825,0.9105801583519346,0.7948050366832465,0.9886094308719222,-0.06849835648374791,0.06849835648374791,0.19380439418867568,0.06849835648374791,1.8328408819035882,39.4727345347153,1.5455356181155993,1.3897055525175934,5366
event_0012,12,0.9703707330390453,0.9036345399675573,0.7992089876591313,0.9852132139123038,-0.06673619307148804,0.06673619307148804,0.18600422625317248,0.06673619307148804,1.4530408120427005,54.6763088910582,1.434259676446188,1.2853602402557285,5703
event_0013,13,0.8625402065739333,0.9008709610202186,0.8125047679231612,0.979028432589693,0.03833075444628531,0.03833075444628531,0.1665236646665318,-0.03833075444628531,0.9491870087223141,51.812921026815985,1.576678544889918,1.404439998079022,5227
event_0014,14,0.9238890001203114,0.6924314826552151,0.6570879904955882,0.7319509153304591,-0.23145751746509624,0.23145751746509624,0.07486292483487089,0.23145751746509624,1.021622413453491,57.35103013065887,1.6809294029117232,1.1591697315480634,5850
event_0015,15,0.9627263529330116,0.9182792987648933,0.8086682223517159,0.9903922769995935,-0.04444705416811823,0.04444705416811823,0.18172405464787766,0.04444705416811823,0.9826213560609456,57.80287524043675,1.4437147883548043,1.3083659664132086,6343
event_0016,16,0.9732961446088182,0.8336742010552121,0.7575898124772356,0.9042199075024864,-0.13962194355360613,0.13962194355360613,0.14663009502525082,0.13962194355360613,1.4797150193445212,48.96154469313572,1.4706824174314,1.2229970899926708,5229
event_0017,17,0.8662671028651355,0.8562720994503822,0.7263976665874572,0.9807245394656219,-0.009995003414753345,0.009995003414753345,0.2543268728781647,0.009995003414753345,1.6878517917880007,52.30948163604833,1.4920163207956751,1.259164898802531,5148
event_0018,18,0.8868636966111566,0.9246300768816164,0.820513421478289,0.9908248358706079,0.037766380270459754,0.037766380270459754,0.1703114143923189,-0.037766380270459754,0.986605650250304,58.29481368913493,1.4861874650096492,1.3581482988048232,5189
event_0019,19,0.8607594676339484,0.8496344722865017,0.7247925756019808,0.9671131529196224,-0.011124995347446709,0.011124995347446709,0.24232057731764156,0.011124995347446709,1.1409088623842942,57.564667140208286,1.3982329428045464,1.1823583196129621,5152
event_0020,20,0.8377398833263716,0.9145170108670444,0.8172532062136795,0.9865107761963676,0.07677712754067278,0.07677712754067278,0.16925756998268815,-0.07677712754067278,0.9750368216133692,56.586554917917766,1.3212403772368164,1.1991343654963,4903
event_0021,21,0.9603956822862183,0.9180968691767909,0.8312577901794476,0.9871993762383657,-0.0422988131094274,0.0422988131094274,0.15594158605891817,0.0422988131094274,1.2099789772848664,44.91715363006,1.5597993679690338,1.4185009050424822,5278
event_0022,22,0.9512650984024534,0.9354625262226012,0.8496177141312138,0.9914322669583612,-0.01580257217985226,0.01580257217985226,0.1418145528271474,0.01580257217985226,1.5963823989714958,44.2853935144121,1.2705487553848498,1.1729266026662124,5079
event_0023,23,0.9331261784491772,0.8999982243964183,0.8311694520767803,0.9699522284151278,-0.03312795405275892,0.03312795405275892,0.13878277633834757,0.03312795405275892,1.1524452374422474,49.97257312179769,1.423027948756507,1.2811764527061391,5077
event_0024,24,0.9637579075248656,0.9160078572068064,0.8465745046881551,0.9846661150745099,-0.04775005031805912,0.04775005031805912,0.13809161038635476,0.04775005031805912,1.0423022682813015,56.23562826108313,1.390516961409937,1.2752131000526283,4953
event_0025,25,0.8858471263730155,0.8623979258329957,0.768931999062074,0.9573081876434444,-0.023449200540019866,0.023449200540019866,0.1883761885813704,0.023449200540019866,1.1427706668327708,50.02414859596559,1.4545455589509482,1.2530188272559184,6055
event_0026,26,0.8954176312236434,0.9023191506175093,0.7954406694956634,0.9865215380057889,0.0069015193938659625,0.0069015193938659625,0.1910808685101255,-0.0069015193938659625,1.4107301239299868,38.267913836244546,1.427244674904601,1.2717362992000973,6283
event_0027,27,0.9299263223700998,0.7736973820209542,0.7043863303041481,0.8888012574433766,-0.15622894034914558,0.15622894034914558,0.18441492713922847,0.15622894034914558,1.0716020217258024,58.371673214758246,1.6287295295473128,1.2521345031320252,5373
event_0028,28,0.9033555359326819,0.8402820868040329,0.7474290311454085,0.9558187939971607,-0.06307344912864898,0.06307344912864898,0.20838976285175226,0.06307344912864898,1.2746634497647,40.08287548436269,1.5124472114070866,1.2777560336906215,5109
event_0029,29,0.926409703598878,0.9209041677042555,0.8236440920974555,0.9884614440353388,-0.0055055358946224375,0.0055055358946224375,0.16481735193788327,0.0055055358946224375,1.0989938624921656,46.4242355067146,1.5537459809144725,1.4128276463030252,4810
event_0030,30,0.8094320323704208,0.7523908464401118,0.7106645468490577,0.8011571079215587,-0.057041185930309046,0.057041185930309046,0.09049256107250103,0.057041185930309046,1.0985556142298967,56.9121935830037,1.5068642899451408,1.1313024570521804,5640
event_0031,31,0.9301025173036136,0.8665548248481261,0.8013881090366074,0.9336018478313232,-0.06354769245548753,0.06354769245548753,0.13221373879471576,0.06354769245548753,0.9879729176166373,60.5543971974019,1.4216496498327178,1.2305849880960336,5187
event_0032,32,0.9192117758161535,0.9136128612753712,0.8009635812464428,0.9874113472440349,-0.005598914540782318,0.005598914540782318,0.18644776599759205,0.005598914540782318,0.8002936867530259,67.44412385752736,1.4145982362180851,1.274196523046355,5522
event_0033,33,0.9848332684999606,0.7945772938606549,0.7253172438974184,0.9011772405481259,-0.19025597463930566,0.19025597463930566,0.1758599966507075,0.19025597463930566,1.1008293327114154,48.463503175136175,1.3808910438359152,1.1025793655786926,4942
event_0034,34,0.941164281694028,0.8561675781770356,0.7710753285362676,0.9449447274293086,-0.0849967035169924,0.0849967035169924,0.17386939889304098,0.0849967035169924,1.1331277631441388,47.92925663833145,1.3804848935506506,1.1813416840175133,5540
event_0035,35,0.976144202597775,0.9051553042340154,0.8109814679887946,0.9814739557653887,-0.07098889836375966,0.07098889836375966,0.1704924877765941,0.07098889836375966,1.1262825858118397,41.33559994589385,1.5180218511462649,1.3705483019183915,5647
event_0036,36,0.8474356750262985,0.8169569475758618,0.7372217321096212,0.9335766553687767,-0.03047872745043667,0.03047872745043667,0.1963549232591555,0.03047872745043667,0.9844136748337673,48.20393637933016,1.5481485506230601,1.2656261157860038,5700
event_0037,37,0.8876573406688892,0.8158354279082689,0.7235882194750604,0.9289742744736539,-0.07182191276062033,0.07182191276062033,0.20538605499859353,0.07182191276062033,1.1548811336992475,54.127921831358535,1.503832480536361,1.2205516752941046,5444
event_0038,38,0.9830715601949506,0.9174190252214358,0.8184442685170188,0.98613422880454,-0.06565253497351475,0.06565253497351475,0.16768996028752126,0.06565253497351475,1.2314680981812836,49.49154799493796,1.4884312852834456,1.347225594780076,4871
event_0039,39,0.8369693978830862,0.692679810144836,0.6553061716269043,0.7464556199793773,-0.14428958773825018,0.14428958773825018,0.09114944835247296,0.14428958773825018,1.2566291794515392,64.86696474348821,1.5907585083603208,1.0988949854190808,5097
event_0040,40,0.9441387247119014,0.9192662778953015,0.8281447083434914,0.9886629904894925,-0.024872446816599947,0.024872446816599947,0.16051828214600106,0.024872446816599947,0.9171626449752543,55.995713507398065,1.4479795387833438,1.31473346571965,5144
event_0041,41,0.9345546833935596,0.8066008610921407,0.7407299539081187,0.884570517292619,-0.12795382230141894,0.12795382230141894,0.14384056338450035,0.12795382230141894,1.0678602648982198,54.67238911492319,1.5550651853425344,1.2524217208052457,5004
event_0042,42,0.9509930443946387,0.8128212010343147,0.7361296776753403,0.9061209330803957,-0.13817184336032406,0.13817184336032406,0.16999125540505533,0.13817184336032406,0.9966452114562585,57.0268299842188,1.5827948201731132,1.2785547748153756,5357
event_0043,43,0.9953094849178851,0.9150578849943284,0.8053093279121395,0.9909303149459866,-0.08025159992355668,0.08025159992355668,0.1856209870338471,0.08025159992355668,1.3696257245427366,43.00633667814002,1.4253759944269155,1.2876886520337447,5834
event_0044,44,0.9648196995673616,0.8888616728449219,0.7647875372872335,0.985327397725269,-0.07595802672243968,0.07595802672243968,0.22053986043803553,0.07595802672243968,1.2514606370655188,50.63759631698215,1.5531873724007879,1.3590311375722353,5465
event_0045,45,0.9186293964715253,0.8006565541678841,0.7435094462144709,0.8838871078958868,-0.11797284230364125,0.11797284230364125,0.14037766168141586,0.11797284230364125,0.9806927757949874,44.74141840967916,1.5089423058833806,1.2153425733286032,5424
