event,n_samples,frac_in_support,ess_base_fullL,ess_new_reweighted,ess_new_frac
event_0001,5053,0.9556698990698594,5050.279993500749,2684.6124687129427,0.5312908111444573
event_0002,5765,0.95836947094536,5680.263402527531,4017.0190406571637,0.6967942828546685
event_0003,4864,0.9997944078947368,4861.970794822211,4134.160405189472,0.8499507411984935
event_0004,5048,1.0,5047.989736410035,3604.5442135992466,0.7140539250394704
event_0005,4991,1.0,4990.99996232724,4740.583416434749,0.9498263707543075
event_0006,5108,0.9207126076742365,5103.196493787324,2587.687545308811,0.506595055855288
event_0007,5476,0.9611029948867786,5475.999999413258,2416.018982614488,0.4412014212225142
event_0008,6109,0.8006220330659682,5950.366217239291,2213.827097394561,0.3623878044515569
event_0009,5134,1.0,5133.999800304445,4338.431255892446,0.8450392006023463
event_0010,5112,1.0,5111.8567726182955,4021.3047297223293,0.7866402053447435
event_0011,5367,0.21762623439537918,5366.285435382442,750.4110798715674,0.1398194670899138
event_0012,5713,1.0,5702.829726650278,4369.203086979064,0.764782616310006
event_0013,5361,0.9516881178884536,5227.333855013421,3363.938253829382,0.6274833527008734
event_0014,5850,0.9858119658119658,5849.999992167647,1157.365100136914,0.19784018805759213
event_0015,6349,0.8711608127264137,6342.640040908742,4311.835236250389,0.6791361216333894
event_0016,5229,0.9847007075922739,5228.932908319862,3189.189505259007,0.6099042848076127
event_0017,5149,0.9891241017673335,5147.895244997322,2758.309477404782,0.5356980923295361
event_0018,5189,1.0,5188.5952965980905,3910.733481453822,0.753658408451305
event_0019,5153,0.8169998059382884,5152.43362065545,2040.7134007069678,0.3960243354758331
event_0020,4915,0.9747711088504578,4902.712780464985,3372.5333094070365,0.6861715787196412
event_0021,5279,0.6719075582496685,5277.825114595096,2632.946376582649,0.49875854832025934
event_0022,5079,0.5879110061035637,5078.714353980694,1298.1753496644828,0.2555966429739088
event_0023,5077,1.0,5076.999998517068,4260.116096217656,0.8391010628752524
event_0024,4953,1.0,4952.999796723563,4269.053997563519,0.8619127796413324
